k,I,EI,p_norm,p_rand,p_sim,p_z_sim,z_norm,z_rand
1,0.5534848092915533,-0.0022271714922048997,0.0,0.0,0.001,0.0,9.580850228569401,11.697648230441969
2,0.5549428297328324,-0.0022271714922048997,0.0,0.0,0.001,0.0,12.45363085162348,15.196296631996987
3,0.5108213727897032,-0.0022271714922048997,0.0,0.0,0.001,0.0,14.01337881815769,17.083940946159228
4,0.4569015714864156,-0.0022271714922048997,0.0,0.0,0.001,0.0,14.50047294376545,17.6612312127181
5,0.4071202311000228,-0.0022271714922048997,0.0,0.0,0.001,0.0,14.451867541145283,17.58587684461475
6,0.3695570789190405,-0.0022271714922048997,0.0,0.0,0.001,0.0,14.398178828864346,17.503943528575657
7,0.3407576224092202,-0.0022271714922048997,0.0,0.0,0.001,0.0,14.417794458491372,17.510164428792553
8,0.3195850398005535,-0.0022271714922048997,0.0,0.0,0.001,0.0,14.49306319778748,17.584379596580987
9,0.29360571823476883,-0.0022271714922048997,0.0,0.0,0.001,0.0,14.141534998511663,17.141380628132275
10,0.2820554029255882,-0.0022271714922048997,0.0,0.0,0.001,0.0,14.349043217054868,17.375972869621783
